"Date","DailyMoveCat","CloseDiffCat","ONDiffCat","SpreadCat"
2016-07-01,"Down","Down","Up","Down"
2016-06-30,"Down Large","Down Large","Down Large","Up"
2016-06-29,"Down Large","Down Large","Down Extreme","Up"
2016-06-28,"Down Large","Down Large","Down Extreme","Up"
2016-06-27,"Up Large","Up Large","Up Extreme","Up"
2016-06-24,"Up Extreme","Up Extreme","Up Extreme","Up Extreme"
2016-06-23,"Down","Down Large","Down Extreme","No Move"
2016-06-22,"Up","Up","Down","Down"
2016-06-21,"No Move","Down","Down Extreme","Down"
2016-06-20,"Down","Down","Down Extreme","Up"
2016-06-17,"Up","Up","No Move","Down"
2016-06-16,"Down","Down","Up Extreme","Up"
2016-06-15,"Up","Up","Down Extreme","Down"
2016-06-14,"Up","Up","Up Large","Down"
2016-06-13,"Up","Up","Up Extreme","No Move"
2016-06-10,"Up","Up","Up Extreme","Down"
2016-06-09,"Down","Up","Up Extreme","Down"
2016-06-08,"Down","Down","Up","Down"
2016-06-07,"No Move","Down","Down Large","Down"
2016-06-06,"Down","Down","Down Large","Down"
2016-06-03,"No Move","Up","Up Extreme","Down"
2016-06-02,"Down","Down","No Move","Down"
2016-06-01,"Down","No Move","Up Extreme","Down"
2016-05-31,"Up","Up","Down Large","No Move"
2016-05-27,"Down","Down","Up","Down"
2016-05-26,"Up","Up","Down","Down"
2016-05-25,"Down","Down","Down Extreme","Down"
2016-05-24,"Down","Down","Down Extreme","Up"
2016-05-23,"No Move","No Move","Down","Down"
2016-05-20,"Down","Down","Down","Down"
2016-05-19,"Up","Up","Up Large","Up"
2016-05-18,"Down","No Move","Up Extreme","Up"
2016-05-17,"Up","Up","Up","Up"
2016-05-16,"Down","Down","Up","Up"
2016-05-13,"Up","Up","Up","Up"
2016-05-12,"No Move","No Move","No Move","No Move"
2016-05-11,"Up","Up Large","Up","Up"
2016-05-10,"Down","Down Large","Down Large","Up"
2016-05-09,"Up","Up","Down","Down"
2016-05-06,"Down","Down","Up","No Move"
2016-05-05,"No Move","No Move","Down Large","Down"
2016-05-04,"Up","Up","Up Large","Down"
2016-05-03,"Up","Up","Up Large","Up"
2016-05-02,"Down","Down","Down","Down"
2016-04-29,"Up","Up","Up Large","No Move"
2016-04-28,"Up","Up","Up Large","Up"
2016-04-27,"Down","Down","Down","No Move"
2016-04-26,"No Move","No Move","Down","Down"
2016-04-25,"No Move","Up","Up Large","Down"
2016-04-22,"Down","Down","Down","Down"
2016-04-21,"Up","Up","Up","Down"
2016-04-20,"Down","Down","Down","Down"
2016-04-19,"Down","Down","Down","Down"
2016-04-18,"Down","Down","Up","No Move"
2016-04-15,"Up","Up","No Move","Down"
2016-04-14,"Down","Down","Down","Down"
2016-04-13,"Down","Down","Down Large","No Move"
2016-04-12,"Down","Down","Down Large","Up"
2016-04-11,"Up","Up","Down","No Move"
2016-04-08,"Down","Down","Down Large","No Move"
2016-04-07,"Up","Up","Up Extreme","Up"
2016-04-06,"Down","Down","Down","Up"
2016-04-05,"Up","Up","Up Large","Down"
2016-04-04,"Up","Up","Down","Down"
2016-04-01,"Down","Down","Up Extreme","Up"
2016-03-31,"Up","Up","No Move","Down"
2016-03-30,"Down","Down","Down Large","Down"
